6
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Index,Name,URL,Description,Skills,Abbrevisation,Starting Proficiencies,Language Options,Starting Equipment,Starting Equipment Options,Typical Speakers,Script,Type of Proficiency,Classes,Races,Reference,Hit Dice,Class Levels,Multiclassing,Prerequisites,Minimum Score,Prerequisite Options,Choose This Many,From This Thing,Proficiencies,Spellcasting,Level,Information,Spellcasting Abiility,Spells,Saving Throws,Subclasses,Cantrips,Spells Known,Spell Slot 1,Spell Slot 2,Spell Slot 3,Spell Slot 4,Spell Slot 5,Spell Slot 6,Spell Slot 7,Spell Slot 8,Spell Slot 9,Class Specific,Equipment,Image,Equipment Categories,Variants,Variant,Parent,Feature Specific,Speed,Ability Bonus,Bonus,Alignment,Age,Size,Size Description,Starting Proficiencies,Starting Proficiency Options,Language,Language Description,Traits,Higher Level,Range,Components,Material,Ritual,Duration,Concentration,Casting Time,Attack Type,Damage,School
cha,CHA,/api/ability-scores/cha,"['Charisma measures your ability to interact effectively with others. It includes such factors as confidence and eloquence, and it can represent a charming or commanding personality.', 'A Charisma check might arise when you try to influence or entertain others, when you try to make an impression or tell a convincing lie, or when you are navigating a tricky social situation. The Deception, Intimidation, Performance, and Persuasion skills reflect aptitude in certain kinds of Charisma checks.']","[{'name': 'Deception', 'index': 'deception', 'url': '/api/skills/deception'}, {'name': 'Intimidation', 'index': 'intimidation', 'url': '/api/skills/intimidation'}, {'name': 'Performance', 'index': 'performance', 'url': '/api/skills/performance'}, {'name': 'Persuasion', 'index': 'persuasion', 'url': '/api/skills/persuasion'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,CON,/api/ability-scores/con,"['Constitution measures health, stamina, and vital force.', 'Constitution checks are uncommon, and no skills apply to Constitution checks, because the endurance this ability represents is largely passive rather than involving a specific effort on the part of a character or monster.']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dex,DEX,/api/ability-scores/dex,"['Dexterity measures agility, reflexes, and balance.', 'A Dexterity check can model any attempt to move nimbly, quickly, or quietly, or to keep from falling on tricky footing. The Acrobatics, Sleight of Hand, and Stealth skills reflect aptitude in certain kinds of Dexterity checks.']","[{'name': 'Acrobatics', 'index': 'acrobatics', 'url': '/api/skills/acrobatics'}, {'name': 'Sleight of Hand', 'index': 'sleight-of-hand', 'url': '/api/skills/sleight-of-hand'}, {'name': 'Stealth', 'index': 'stealth', 'url': '/api/skills/stealth'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int,INT,/api/ability-scores/int,"['Intelligence measures mental acuity, accuracy of recall, and the ability to reason.', 'An Intelligence check comes into play when you need to draw on logic, education, memory, or deductive reasoning. The Arcana, History, Investigation, Nature, and Religion skills reflect aptitude in certain kinds of Intelligence checks.']","[{'name': 'Arcana', 'index': 'arcana', 'url': '/api/skills/arcana'}, {'name': 'History', 'index': 'history', 'url': '/api/skills/history'}, {'name': 'Investigation', 'index': 'investigation', 'url': '/api/skills/investigation'}, {'name': 'Nature', 'index': 'nature', 'url': '/api/skills/nature'}, {'name': 'Religion', 'index': 'religion', 'url': '/api/skills/religion'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
str,STR,/api/ability-scores/str,"['Strength measures bodily power, athletic training, and the extent to which you can exert raw physical force.', 'A Strength check can model any attempt to lift, push, pull, or break something, to force your body through a space, or to otherwise apply brute force to a situation. The Athletics skill reflects aptitude in certain kinds of Strength checks.']","[{'name': 'Athletics', 'index': 'athletics', 'url': '/api/skills/athletics'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wis,WIS,/api/ability-scores/wis,"['Wisdom reflects how attuned you are to the world around you and represents perceptiveness and intuition.', ""A Wisdom check might reflect an effort to read body language, understand someone's feelings, notice things about the environment, or care for an injured person. The Animal Handling, Insight, Medicine, Perception, and Survival skills reflect aptitude in certain kinds of Wisdom checks.""]","[{'name': 'Animal Handling', 'index': 'animal-handling', 'url': '/api/skills/animal-handling'}, {'name': 'Insight', 'index': 'insight', 'url': '/api/skills/insight'}, {'name': 'Medicine', 'index': 'medicine', 'url': '/api/skills/medicine'}, {'name': 'Perception', 'index': 'perception', 'url': '/api/skills/perception'}, {'name': 'Survival', 'index': 'survival', 'url': '/api/skills/survival'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
9
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
