Index,Name,URL,Description,Reference,Prerequisites,Level,Parent,Feature Specific
action-surge-1-use,Action Surge (1 use),/api/features/action-surge-1-use,"['Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action.', 'Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn.']",,[],2,,
action-surge-2-uses,Action Surge (2 uses),/api/features/action-surge-2-uses,"['Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action.', 'Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn.']",,[],17,,
additional-fighting-style,Additional Fighting Style,/api/features/additional-fighting-style,"['At 10th level, you can choose a second option from the Fighting Style class feature.']",,[],10,,"{'subfeature_options': {'choose': 1, 'type': 'feature', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-archery', 'name': 'Fighting Style: Archery', 'url': '/api/features/fighter-fighting-style-archery'}}, {'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-defense', 'name': 'Fighting Style: Defense', 'url': '/api/features/fighter-fighting-style-defense'}}, {'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-dueling', 'name': 'Fighting Style: Dueling', 'url': '/api/features/fighter-fighting-style-dueling'}}, {'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-great-weapon-fighting', 'name': 'Fighting Style: Great Weapon Fighting', 'url': '/api/features/fighter-fighting-style-great-weapon-fighting'}}, {'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-protection', 'name': 'Fighting Style: Protection', 'url': '/api/features/fighter-fighting-style-protection'}}, {'option_type': 'reference', 'item': {'index': 'fighter-fighting-style-two-weapon-fighting', 'name': 'Fighting Style: Two-Weapon Fighting', 'url': '/api/features/fighter-fighting-style-two-weapon-fighting'}}]}}, 'invocations': []}"
additional-magical-secrets,Additional Magical Secrets,/api/features/additional-magical-secrets,"[""At 6th level, you learn two spells of your choice from any class. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip. The chosen spells count as bard spells for you but don't count against the number of bard spells you know.""]",,[],6,,
arcane-recovery,Arcane Recovery,/api/features/arcane-recovery,"['You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your wizard level (rounded up), and none of the slots can be 6th level or higher.', ""For example, if you're a 4th-level wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots.""]",,[],1,,
arcane-tradition,Arcane Tradition,/api/features/arcane-tradition,"['When you reach 2nd level, you choose an arcane tradition, shaping your practice of magic through one of eight schools, such as Evocation.', 'Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.']",,[],2,,
archdruid,Archdruid,/api/features/archdruid,"['At 20th level, you can use your Wild Shape an unlimited number of times.', ""Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape.""]",,[],20,,
aura-improvements,Aura improvements,/api/features/aura-improvements,"['At 18th level, the range of your auras increase to 30 feet.']",,[],18,,
aura-of-courage,Aura of Courage,/api/features/aura-of-courage,"[""Starting at 10th level, you and friendly creatures within 10 feet of you can't be frightened while you are conscious."", 'At 18th level, the range of this aura increases to 30 feet.']",,[],10,,
aura-of-devotion,Aura of Devotion,/api/features/aura-of-devotion,"[""Starting at 7th level, you and friendly creatures within 10 feet of you can't be charmed while you are conscious."", 'At 18th level, the range of this aura increases to 30 feet.']",,[],7,,
