Index,Name,URL,Description,Type of Proficiency,Proficiencies,Image,Speed,Size,Language
aboleth,Aboleth,/api/monsters/aboleth,,aberration,"[{'value': 6, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-int', 'name': 'Saving Throw: INT', 'url': '/api/proficiencies/saving-throw-int'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 12, 'proficiency': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'value': 10, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}]",/api/images/monsters/aboleth.png,"{'walk': '10 ft.', 'swim': '40 ft.'}",Large,"Deep Speech, telepathy 120 ft."
acolyte,Acolyte,/api/monsters/acolyte,"Acolytes are junior members of a clergy, usually answerable to a priest. They perform a variety of functions in a temple and are granted minor spellcasting power by their deities.",humanoid,"[{'value': 4, 'proficiency': {'index': 'skill-medicine', 'name': 'Skill: Medicine', 'url': '/api/proficiencies/skill-medicine'}}, {'value': 2, 'proficiency': {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}}]",/api/images/monsters/acolyte.png,{'walk': '30 ft.'},Medium,any one language (usually Common)
adult-black-dragon,Adult Black Dragon,/api/monsters/adult-black-dragon,,dragon,"[{'value': 7, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 11, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 7, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-black-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Huge,"Common, Draconic"
adult-blue-dragon,Adult Blue Dragon,/api/monsters/adult-blue-dragon,,dragon,"[{'value': 5, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 12, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 5, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-blue-dragon.png,"{'walk': '40 ft.', 'burrow': '30 ft.', 'fly': '80 ft.'}",Huge,"Common, Draconic"
adult-brass-dragon,Adult Brass Dragon,/api/monsters/adult-brass-dragon,,dragon,"[{'value': 5, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 7, 'proficiency': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'value': 11, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 8, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 5, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-brass-dragon.png,"{'walk': '40 ft.', 'burrow': '40 ft.', 'fly': '80 ft.'}",Huge,"Common, Draconic"
adult-bronze-dragon,Adult Bronze Dragon,/api/monsters/adult-bronze-dragon,,dragon,"[{'value': 5, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 7, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 12, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 5, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-bronze-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Huge,"Common, Draconic"
adult-copper-dragon,Adult Copper Dragon,/api/monsters/adult-copper-dragon,,dragon,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 8, 'proficiency': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'value': 12, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 6, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-copper-dragon.png,"{'walk': '40 ft.', 'climb': '40 ft.', 'fly': '80 ft.'}",Huge,"Common, Draconic"
adult-gold-dragon,Adult Gold Dragon,/api/monsters/adult-gold-dragon,,dragon,"[{'value': 8, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 8, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 14, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 13, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 8, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-gold-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Huge,"Common, Draconic"
adult-green-dragon,Adult Green Dragon,/api/monsters/adult-green-dragon,,dragon,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 8, 'proficiency': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'value': 7, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 12, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 8, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 6, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-green-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Huge,"Common, Draconic"
adult-red-dragon,Adult Red Dragon,/api/monsters/adult-red-dragon,,dragon,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 13, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 6, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-red-dragon.png,"{'walk': '40 ft.', 'climb': '40 ft.', 'fly': '80 ft.'}",Huge,"Common, Draconic"
